Area_Locality,Society_Name,Numeric_Price,Title,BHK
Sholinganallur,Falling Waters,10000000,3 BHK Builder Floor for Sale in Sholinganallur Chennai,3
S Kolathur,Jkm Homes,8600000,2 BHK Apartment for Sale in S Kolathur Chennai,2
Perambur,The Metrozone,13000000,3 BHK Apartment for Sale in Perambur Chennai,3
Perumbakkam,Vijay Bhaggyam Court,10500000,3 BHK Apartment for Sale in Perumbakkam Chennai,3
Gowriwakkam,Vadapalani Apartments,7300000,2 BHK Apartment for Sale in Gowriwakkam Chennai,2
Kamaraj Nagar Thiruvanmiyur,Phoenix Marketcity,19500000,3 BHK Builder Floor for Sale in Kamaraj Nagar Thiruvanmiyur Chennai,3
Egattur,Rainbow Crystal,14000000,2 BHK Apartment for Sale in Egattur Chennai,2
Koyambedu,Radiance Shine,12000000,3 BHK Apartment for Sale in Koyambedu Chennai,3
West Mambalam,Madipakkam,6000000,2 BHK Apartment for Sale in West Mambalam Chennai,2
Nesamani Nagar Perumbakkam,Vgn Notting Hill,6000000,2 BHK Apartment for Sale in Nesamani Nagar Perumbakkam Chennai,2
Avadi,Besant Nagar,7000000,2 BHK Apartment for Sale in Avadi Chennai,2
Perumbakkam,Ceebros One 74,7800000,3 BHK Apartment for Sale in Perumbakkam Chennai,3
Mangadu,Ramaniyam Chaitanya,12000000,3 BHK Apartment for Sale in Mangadu Chennai,3
Perumbakkam,T Nagar,5500000,2 BHK Apartment for Sale in Perumbakkam Chennai,2
Perumbakkam,Value Realitty Sai Empire,8500000,3 BHK Apartment for Sale in Perumbakkam Chennai,3
Thiruvanmiyur,Vamaja Param,13400000,2 BHK Apartment for Sale in Thiruvanmiyur Chennai,2
Padur,Radiance Empire,5900000,2 BHK Apartment for Sale in Padur Chennai,2
Sholinganallur,Vgn Notting Hill,12400000,3 BHK Apartment for Sale in Sholinganallur Chennai,3
Adambakkam,The Metrozone,8500000,2 BHK Apartment for Sale in Adambakkam Chennai,2
Padur,Brigade Xanadu,7200000,2 BHK Apartment for Sale in Padur Chennai,2
T Nagar,Dlf Commanders Court,12500000,2 BHK Apartment for Sale in T Nagar Chennai,2
Omr,Ruby Elite,3800000,2 BHK Apartment for Sale in OMR Chennai,2
Thoraipakkam,Akshaya Level Up,12600000,3 BHK Apartment for Sale in Thoraipakkam Chennai,3
Pallikaranai,Fomra Hues,5400000,2 BHK Apartment for Sale in Pallikaranai Chennai,2
Madipakkam,Tvh Quadrant,12000000,2 BHK Builder Floor for Sale in Madipakkam Chennai,2
Porur,Purva Windermere,10800000,2 BHK Apartment for Sale in Porur Chennai,2
Puzhuthivakkam,Dlf Commanders Court,8000000,3 BHK Apartment for Sale in Puzhuthivakkam Chennai,3
Sowcarpet,Provident Bayscape,12000000,3 BHK Apartment for Sale in Sowcarpet Chennai,3
Madhanandapuram,Crown Residences,6200000,2 BHK Apartment for Sale in Madhanandapuram Chennai,2
Medavakkam,Hiranandani Birchwood,5200000,2 BHK Apartment for Sale in Medavakkam Chennai,2
Tnhb Nolambur,Olympia Opaline,8000000,2 BHK Builder Floor for Sale in TNHB Nolambur Chennai,2
Bhel Nagar Medavakkam,Arun Excello Compact Homes,6480000,2 BHK Apartment for Sale in BHEL Nagar Medavakkam Chennai,2
Mugalivakkam,Ceebros One 74,9400000,3 BHK Apartment for Sale in Mugalivakkam Chennai,3
Royapettah,Bbcl Ashraya,7500000,2 BHK Apartment for Sale in Royapettah Chennai,2
Chromepet,Akarshana Apartments,7450000,3 BHK Apartment for Sale in Chromepet Chennai,3
Omr,Casagrand Sereno,7700000,3 BHK Apartment for Sale in OMR Chennai,3
Velachery,Airport Colony Extension,20000000,3 BHK Builder Floor for Sale in Velachery Chennai,3
Medavakkam,Jananis Blue Bells,5500000,2 BHK Apartment for Sale in Medavakkam Chennai,2
Kelambakkam,Casagrand Ferns,9000000,3 BHK Apartment for Sale in Kelambakkam Chennai,3
Sowcarpet,Marg Pushpadruma,6500000,3 BHK Apartment for Sale in Sowcarpet Chennai,3
Perungalathur,Hiranandani Palace Gardens,9700000,3 BHK Apartment for Sale in Perungalathur Chennai,3
Madambakkam,Amarprakash Temple Waves Iii,4000000,2 BHK Builder Floor for Sale in Madambakkam Chennai,2
Gopalapuram,Urbanrise Revolution One,34600000,3 BHK Apartment for Sale in Gopalapuram Chennai,3
Mudichur,Kg Signature City Phase Ii,3600000,2 BHK Apartment for Sale in Mudichur Chennai,2
Ekkatuthangal,Shantiniketan Vega,23000000,3 BHK Apartment for Sale in Ekkatuthangal Chennai,3
